,country,MP,W,D,L,GF,GA,WP,TP,PPG
1870,Scotland,12,8,2,2,41,15,66.66666666666666,26.0,2.1666666666666665
1880,Scotland,27,23,3,1,114,32,85.18518518518519,72.0,2.6666666666666665
1890,England,30,24,4,2,123,27,80.0,76.0,2.533333333333333
1900,England,37,25,9,3,113,31,67.56756756756756,84.0,2.27027027027027
1910,Denmark,24,19,1,4,90,24,79.16666666666666,58.0,2.4166666666666665
1920,Spain,22,17,3,2,59,16,77.27272727272727,54.0,2.4545454545454546
1930,Italy,67,45,13,9,156,78,67.16417910447761,148.0,2.2089552238805967
1940,Argentina,59,43,9,7,191,75,72.88135593220339,138.0,2.3389830508474576
1950,Hungary,88,60,15,13,300,116,68.18181818181817,195.0,2.215909090909091
1960,Ghana,70,46,18,6,218,74,65.71428571428571,156.0,2.2285714285714286
1970,Brazil,101,67,25,9,194,66,66.33663366336634,226.0,2.2376237623762383
1980,Brazil,115,72,27,16,220,82,62.60869565217392,243.0,2.1130434782608694
1990,Brazil,160,105,35,20,358,132,65.625,350.0,2.1875
2000,Spain,130,92,25,13,263,85,70.76923076923076,301.0,2.315384615384616
2010,Spain,132,93,21,18,307,98,70.45454545454545,300.0,2.272727272727273
2020,Belgium,8,6,1,1,19,8,75.0,19.0,2.375
