Year,Winners,Score,Runners-up,Venue,Location,Attendance
1930,Uruguay ,4–2, Argentina,Estadio Centenario,"Montevideo, Uruguay","80,000"
1934,Italy ,2–1, Czechoslovakia,Stadio Nazionale PNF,"Rome, Italy","50,000"
1938,Italy ,4–2, Hungary,Stade Olympique de Colombes,"Colombes (Paris), France","45,000"
1950,Uruguay ,2–1, Brazil,Estádio do Maracanã,"Rio de Janeiro, Brazil","199,854"
1954,Germany ,3–2, Hungary,Wankdorf Stadium,"Bern, Switzerland","60,000"
1958,Brazil ,5–2, Sweden,Råsunda Stadium,"Solna (Stockholm), Sweden","51,800"
1962,Brazil ,3–1, Czechoslovakia,Estadio Nacional,"Santiago, Chile","69,000"
1966,England ,4–2, Germany,Wembley Stadium,"London, England","96,924"
1970,Brazil ,4–1, Italy,Estadio Azteca,"Mexico City, Mexico","107,412"
1974,Germany ,2–1, Netherlands,Olympiastadion,"Munich, Germany","75,200"
1978,Argentina ,3–1, Netherlands,Estadio Monumental,"Buenos Aires, Argentina","71,483"
1982,Italy ,3–1, Germany,Santiago Bernabéu,"Madrid, Spain","90,000"
1986,Argentina ,3–2, Germany,Estadio Azteca,"Mexico City, Mexico","114,600"
1990,Germany ,1–0, Argentina,Stadio Olimpico,"Rome, Italy","73,603"
1994,Brazil ,0–0, Italy,Rose Bowl,"Pasadena (Los Angeles), United States","94,194"
1998,France ,3–0, Brazil,Stade de France,"Saint-Denis (Paris), France","80,000"
2002,Brazil ,2–0, Germany,International Stadium,"Yokohama, Japan","69,029"
2006,Italy ,1–1, France,Olympiastadion,"Berlin, Germany","69,000"
2010,Spain ,1–0, Netherlands,Soccer City,"Johannesburg, South Africa","84,490"
2014,Germany ,1–0, Argentina,Estádio do Maracanã,"Rio de Janeiro, Brazil","74,738"
2018,France ,4–2, Croatia,Luzhniki Stadium,"Moscow, Russia","78,011"
